player_id,gsis_id,name,position,pro_team
4596602,00-0040078,Brashard Smith,,
4597500,00-0039890,Adonai Mitchell,,
4597703,00-0040648,Tory Horton,,
4599739,00-0038551,Kendre Miller,,
4600981,00-0040134,Pat Bryant,,
4601080,00-0040466,Raheim Sanders,,
4602667,00-0040164,Jaylin Lane,,
4603186,00-0040729,Jack Bech,,
4605951,00-0041399,CJ Daniels,,
4608686,00-0040236,Kyle Monangai,,
4608810,00-0040237,Tez Johnson,,
4612826,00-0039915,Ladd McConkey,,
4613104,00-0039920,Malachi Corley,,
4613202,00-0040131,Kyle Williams,,
4635008,00-0039901,Keon Coleman,,
4678006,00-0040739,Elijah Arroyo,,
4678008,00-0039344,Jonathon Brooks,,
4682648,00-0041042,Malachi Fields,,
4682652,00-0040202,Devin Neal,,
4682745,00-0039874,Jaylen Wright,,
4683062,00-0039894,Xavier Worthy,,
4683151,00-0041132,Deion Burks,,
4683153,00-0041443,Skyler Bell,,
4683243,00-0040187,Mitchell Evans,,
4683423,00-0040206,Riley Leonard,,
4685201,00-0038400,Tanner McKee,,
4685246,00-0041096,Kaytron Allen,,
4685247,00-0039794,Braelon Allen,,
4685261,00-0041489,Germie Bernard,,
4685278,00-0040735,Luther Burden III,,
4685279,00-0040586,Jaydon Blue,,
4685307,00-0041529,Kevin Coleman Jr.,,
4685350,00-0040644,Trevor Etienne,,
4685382,00-0040666,Omarion Hampton,,
4685397,00-0040177,Jordan James,,
4685413,00-0041056,Cade Klubnik,,
4685415,00-0040718,Travis Hunter,,
4685441,LAW090280,Kendrick Law,,
4685472,00-0040124,Tetairoa McMillan,,
4685477,00-0041129,Jam Miller,,
4685504,00-0041558,Sam Roush,,
4685512,00-0041512,Jadarian Price,,
4685522,SIM639376,Ty Simpson,,
4685526,00-0040888,Adam Randall,,
4685553,00-0041550,Brenen Thompson,,
4685555,00-0040886,Nicholas Singleton,,
4685702,00-0040784,Quinshon Judkins,,
4685720,00-0039150,Bryce Young,,
4686248,00-0041503,Nate Boerkircher,,
4686361,00-0039409,Cam Little,,
4686422,00-0038618,Xavier Hutchinson,,
4686468,00-0041125,Seth McGowan,,
4686472,00-0038976,Marvin Mims Jr.,,
4686612,00-0040727,Tre' Harris,,
4686658,WAS569019,Mike Washington Jr.,,
4686728,00-0040584,Gunnar Helm,,
4688380,00-0040676,Cam Ward,,
4688813,00-0038997,Josh Downs,,
4689114,00-0040691,Jaxson Dart,,
4689936,00-0039172,Jake Bates,,
4690013,00-0039796,Rasheen Ali,,
4690070,00-0038839,Mitchell Tinsley,,
4690143,00-0040075,LaJohntay Wester,,
4690923,00-0039912,Ben Sinnott,,
4692590,00-0038938,Jalin Hyatt,,
4692835,00-0038640,Jalen Brooks,,
4693370,00-0041398,Riley Nowakowski,,
4695193,00-0040563,Efton Chism III,,
4695404,00-0039798,Isaiah Davis,,
4695705,00-0041472,Marlin Klein,,
4695883,00-0039491,Jalen Coker,,
4696044,00-0041052,Kaelon Black,,
4696700,00-0039737,Tip Reiman,,
4696736,00-0038354,Tanner Brown,,
4696882,00-0039792,Devontez Walker,,
4696981,00-0040715,Cam Skattebo,,
4697745,00-0040074,Tyler Loop,,
4697815,00-0037256,Rachaad White,,
4698191,00-0039244,Chris Collier,,
4698253,00-0040568,Lan Larison,,
4698597,00-0041099,Barion Brown,,
4701936,00-0040667,Matthew Golden,,
4702555,00-0041496,Jonah Coleman,,
4702559,00-0041041,Oscar Delp,,
4708049,00-0040215,Gavin Bartholomew,,
4708486,00-0040218,Jimmy Horn Jr.,,
4710341,00-0040692,Jarquez Hunter,,
4710714,00-0041035,De'Zhaun Stribling,,
4710855,00-0040590,Konata Mumpfield,,
4711533,00-0040198,Ollie Gordon II,,
4714771,ALL015451,Drew Allar,,
4715355,00-0040024,Darius Cooper,,
4722893,00-0038794,Jaleel McLaughlin,,
4722908,00-0037292,Drew Ogletree,,
4723086,00-0040126,Colston Loveland,,
4723820,00-0041511,Omar Cooper Jr.,,
4808766,00-0040736,Mason Taylor,,
4808830,00-0040651,Damien Martinez,,
4808839,00-0040782,Isaiah Bond,,
4819231,00-0040142,Kaleb Johnson,,
4831959,00-0041395,Eli Raridon,,
4832800,00-0041037,Denzel Boston,,
4832846,00-0041104,Demond Claiborne,,
4832955,00-0041013,Emmett Johnson,,
4833029,00-0041510,Max Klare,,
4837248,MEN516487,Fernando Mendoza,,
4869132,00-0041070,Reggie Virgil,,
4869461,00-0040899,Trey Smack,,
4869645,00-0041523,Caleb Douglas,,
4869748,00-0041051,Zavion Thomas,,
4869961,00-0041525,Chris Bell,,
4870612,00-0041044,Zachariah Branch,,
4870653,00-0041547,KC Concepcion,,
4870795,00-0040867,Makai Lemon,,
4870808,00-0041027,Jeremiyah Love,,
4870847,00-0040870,Ja'Kobi Lane,,
4871023,00-0041438,Carnell Tate,,
4874509,00-0040179,DJ Giddens,,
4876132,00-0040887,Josh Cuevas,,
4877203,00-0040259,Gage Larvadain,,
4877706,00-0040130,Jayden Higgins,,
4878695,00-0041081,Max Bredeson,,
4879194,00-0041100,Josh Cameron,,
4879250,00-0040891,Cole Payton,,
4879276,00-0041067,Bryce Lance,,
4880236,00-0041524,Will Kacmarek,,
4880281,00-0041029,Jordyn Tyson,,
4882093,00-0040719,Bhayshul Tuten,,
4883647,00-0040170,Elic Ayomanor,,
4887558,00-0038797,Emanuel Wilson,,
4889929,00-0040234,Quinn Ewers,,
4890973,00-0040122,Ashton Jeanty,,
4911851,00-0040238,LeQuint Allen Jr.,,
4912052,00-0041077,Justin Joly,,
4912218,00-0040890,Cyrus Allen,,
4912274,00-0039364,Sione Vaki,,
4917427,00-0041084,Tanner Koziol,,
5081338,00-0041397,Kaden Wetjen,,
5081397,00-0040162,Dylan Sampson,,
5081432,00-0041040,Antonio Williams,,
5081508,00-0041490,Eli Heidenreich,,
5082424,00-0041145,Dominic Zvada,,
5082630,00-0040646,Jalen Royals,,
5083076,00-0040663,Harold Fannin Jr.,,
5083315,00-0041032,Kenyon Sadiq,,
5083754,00-0039410,Ryan Flournoy,,
5088338,00-0040876,Elijah Sarratt,,
5091739,00-0041047,Chris Brazzell II,,
5092436,00-0039934,Jude McAtamney,,
5092508,00-0041069,Colbie Young,,
5097554,00-0039589,Kameron Johnson,,
5123663,00-0040669,Isaac TeSlaa,,
5150247,00-0040894,Malik Benson,,
5160110,00-0040277,Jahdae Walker,,
5208518,00-0039229,Charlie Smyth,,
5220680,00-0041048,Ted Hurst III,,
4035886,00-0036906,Khalil Herbert,,
